date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:44	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Aug%202021%2011:30:44%20GMT	https://crowncapital.ltd/robots.txt		(from )
12:30:45	16438/16438	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Aug%202021%2011:30:45%20GMT	https://crowncapital.ltd/?a=home	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/indexbc14.html	(from )
12:30:45	121200/121200	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:59%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/User/Desktop/BTC/btC/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://crowncapital.ltd/?a=home)
12:30:46	76178/76178	---M-Z	200	added ('OK')	text/css	date:Sun,%2014%20Jul%202019%2014:21:44%20GMT	https://crowncapital.ltd/styles/animate.css	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/styles/animate.css	(from https://crowncapital.ltd/?a=home)
12:30:47	35514/35514	---M-Z	200	added ('OK')	text/css	date:Sun,%2014%20Jul%202019%2014:21:44%20GMT	https://crowncapital.ltd/styles/custom.css	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/styles/custom.css	(from https://crowncapital.ltd/?a=home)
12:30:48	114697/114697	---M-Z	200	added ('OK')	text/css	date:Sun,%2014%20Jul%202019%2014:21:44%20GMT	https://crowncapital.ltd/styles/hover.css	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/styles/hover.css	(from https://crowncapital.ltd/?a=home)
12:30:48	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/User/Desktop/BTC/btC/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://crowncapital.ltd/?a=home)
12:30:49	9852/9852	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2014%20Jul%202019%2014:22:08%20GMT	https://crowncapital.ltd/styles/setting2.js	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/styles/setting2.js	(from https://crowncapital.ltd/?a=home)
12:30:49	37045/37045	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:00%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/Users/User/Desktop/BTC/btC/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://crowncapital.ltd/?a=home)
12:30:50	16066/16066	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2014%20Jul%202019%2014:22:08%20GMT	https://crowncapital.ltd/styles/wow.js	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/styles/wow.js	(from https://crowncapital.ltd/?a=home)
12:30:51	8416/8416	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2014%20Jul%202019%2014:22:10%20GMT	https://crowncapital.ltd/styles/wow.min.js	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/styles/wow.min.js	(from https://crowncapital.ltd/?a=home)
12:30:52	2169/2169	---M-Z	403	error ('Forbidden')	text/html	date:Sat,%2021%20Aug%202021%2011:30:52%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/User/Desktop/BTC/btC/translate.google.com/translate_a/element.9a0d8.delayed	(from https://crowncapital.ltd/?a=home)
12:30:52	7803/7803	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261026437-1e7b%22	https://client.crisp.chat/l.js	C:/Users/User/Desktop/BTC/btC/client.crisp.chat/l.js	(from https://crowncapital.ltd/?a=home)
12:30:53	14832/14832	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Jan%202021%2018:28:27%20GMT	https://crowncapital.ltd/styles/images/logo.png	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/styles/images/logo.png	(from https://crowncapital.ltd/?a=home)
12:30:54	2062/2062	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Jul%202019%2014:22:10%20GMT	https://crowncapital.ltd/styles/images/telegram.png	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/styles/images/telegram.png	(from https://crowncapital.ltd/?a=home)
12:30:54	12650/12650	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Aug%202021%2011:30:54%20GMT	https://crowncapital.ltd/?a=cust&page=about	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/index3898.html	(from https://crowncapital.ltd/?a=home)
12:30:54	16287/16287	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Aug%202021%2011:30:54%20GMT	https://crowncapital.ltd/?a=faq	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/index38cd.html	(from https://crowncapital.ltd/?a=home)
12:30:54	12653/12653	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Aug%202021%2011:30:54%20GMT	https://crowncapital.ltd/?a=support	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/index15a0.html	(from https://crowncapital.ltd/?a=home)
12:30:55	1828/1828	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Jul%202019%2014:22:12%20GMT	https://crowncapital.ltd/styles/images/facebookicon.png	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/styles/images/facebookicon.png	(from https://crowncapital.ltd/?a=home)
12:30:56	2315/2315	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Jul%202019%2014:22:12%20GMT	https://crowncapital.ltd/styles/images/logodash.png	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/styles/images/logodash.png	(from https://crowncapital.ltd/?a=home)
12:30:56	12516/12516	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Aug%202021%2011:30:56%20GMT	https://crowncapital.ltd/?a=signup	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/indexcca3.html	(from https://crowncapital.ltd/?a=home)
12:30:57	9369/9369	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Aug%202021%2011:30:57%20GMT	https://crowncapital.ltd/?a=login	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/indexc30b.html	(from https://crowncapital.ltd/?a=home)
12:30:58	4312/4312	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Jul%202019%2014:22:16%20GMT	https://crowncapital.ltd/styles/images/planicon1.png	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/styles/images/planicon1.png	(from https://crowncapital.ltd/?a=home)
12:30:59	4446/4446	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Jul%202019%2014:22:16%20GMT	https://crowncapital.ltd/styles/images/planicon2.png	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/styles/images/planicon2.png	(from https://crowncapital.ltd/?a=home)
12:30:59	375859/375859	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Jul%202019%2014:22:16%20GMT	https://crowncapital.ltd/styles/images/coinsicons.png	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/styles/images/coinsicons.png	(from https://crowncapital.ltd/?a=home)
12:31:00	3441/3441	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Jul%202019%2014:22:16%20GMT	https://crowncapital.ltd/styles/images/planicon3.png	C:/Users/User/Desktop/BTC/btC/crowncapital.ltd/styles/images/planicon3.png	(from https://crowncapital.ltd/?a=home)
